"","day","temp","dewp","wdsp","NUM_CRIME"
"133",3,49.6,35.3,9.3,0.646995930675623
"134",4,55.3,40.4,8.7,0.48470794806447
"135",5,67.6,58.2,9.8,1.39081585097674
"137",7,74.9,66.4,11.3,1.58015183068975
"138",1,74.6,59.6,12.9,0.525279943717258
"139",2,51.4,37.4,10.5,-0.164443982380142
"140",3,46.2,30.9,9.1,0.133083985740305
"141",4,54.7,37.9,7.3,0.349467962555176
"142",5,60.5,37.5,7.5,1.4178638480786
"143",6,65.7,37.6,6.7,1.06623988575444
"144",7,68.8,51.7,5.4,-0.434923953398731
"145",1,74.3,63.4,12.8,-0.150919983829213
"146",2,73.3,64.3,10.9,0.701091924879341
"147",3,70.9,60.2,11.7,0.24127597414774
"148",4,72,55.7,5.3,1.09328788285629
"149",5,75.7,62.5,8.7,1.47195984228232
"150",6,66,60.4,10.3,-0.00215599976898939
"151",7,48.7,42.8,15.6,-0.718927922968249
"153",2,58,42.8,4.6,0.71461592343027
"154",3,65.3,50.1,6,0.782235916184917
"155",4,71,58,7.2,0.0248919973328695
"156",5,66.8,57.6,11,0.903951903143282
"157",6,62.4,51.4,9.6,0.525279943717258
"158",7,68.2,59.9,9.3,0.268323971249599
"159",1,74.9,64.3,11.3,-0.516067944704308
"160",2,72,57.5,5.9,0.160131982842164
"161",3,81.7,64.6,11.5,0.998619892999788
"162",4,72.1,60.1,6.2,1.12033587995815
"163",5,65.9,63.2,6.1,1.45843584373139
"164",6,69.7,62.8,5.8,1.26909986401838
"165",7,75.9,69.9,7.2,1.01214389155072
"166",1,76.4,71.8,6.7,0.268323971249599
"167",2,70.4,60.2,8.5,1.72891581474998
"168",3,63.5,52.5,4,0.0384159958837989
"169",4,74.5,67.1,7.8,0.660519929226552
"170",5,63.1,53.5,10.7,0.755187919083058
"171",6,67.4,57.1,5.9,0.633471932124694
"172",7,76.8,66.6,7.8,0.863379907490494
"173",1,78.3,71.4,8.7,0.822807911837705
"174",2,77.2,61.9,9,0.173655981393093
"175",3,72.3,57.4,5,0.119559987189375
"176",4,73.4,65.2,6.7,0.876903906041423
"177",5,66.3,61.6,7.9,0.876903906041423
"178",6,66.5,54,9.2,0.0519399944347283
"179",7,70,51.7,5,1.05271588720351
"180",1,70.6,63,4.4,0.430611953860752
"181",2,70.7,62.3,6.6,0.390039958207964
"183",4,62.8,54,9.3,0.511755945166329
"184",5,68,54,6.3,0.660519929226552
"185",6,72.2,56.2,3.1,1.70186781764812
"187",1,78.4,65.7,8.5,0.511755945166329
"188",2,69,57.5,12.3,-0.245587973685719
"189",3,62.5,50.6,7.2,-0.0156799983199188
"190",4,66.3,57.4,7.2,-0.651307930213602
"191",5,71.5,57,4.3,0.268323971249599
"192",6,73.7,57.2,3.7,1.06623988575444
"193",7,75,65.4,5.9,1.10681188140722
"194",1,78,67.6,9.1,0.849855908939564
"195",2,78,66.1,9.3,-0.110347988176425
"196",3,68.2,52.4,10,1.02566789010165
"197",4,69.4,57.2,6.9,-0.624259933111743
"198",5,80,70.8,7.8,1.4178638480786
"199",6,82.5,70.8,8,0.768711917633988
"200",7,82.1,68.8,7,0.606423935022835
"201",1,77.6,61.5,5.8,0.795759914735847
"202",2,77.1,57.7,7.4,0.768711917633988
"203",3,75.9,54.3,4.1,0.741663920532129
"204",4,77.7,56,4.1,1.22852786836559
"206",6,80.8,66.7,8.2,1.51253183793511
"207",7,77.4,64.7,4.7,1.12033587995815
"208",1,80.3,64.2,6.8,1.56662783213882
"209",2,82.9,66.1,6.8,0.646995930675623
"210",3,83.3,65.7,8,0.592899936471905
"211",4,80,54.5,9.5,0.755187919083058
"212",5,80.7,55.8,9.9,0.836331910388635
"214",7,82.5,64.6,12.6,1.37729185242581
"215",1,77.8,59,9.5,0.133083985740305
"216",2,75,53.2,6.1,0.565851939370046
"217",3,75.6,56.5,5.1,0.701091924879341
"218",4,76.2,60,7.9,1.21500386981466
"219",5,76.4,57.5,7.5,1.62072382634254
"220",6,78.1,62,6.5,1.75596381185184
"221",7,74.6,65.5,4.3,0.349467962555176
"222",1,77.8,67.6,4.8,1.20147987126373
"223",2,75,62.1,6.9,0.958047897347
"224",3,72.7,57.4,4.4,0.552327940819117
