"","Oct","Nov","Dec","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Jan","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","wdsp","NUM_CRIME"
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,7.7,-9.3,9.8,0.673733804475854
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,13.9,2.1,12.6,0.739693757361602
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,24.1,9.9,7.9,0.672555948174323
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,20.2,12.3,11.5,0.608951707891637
"53",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,10,-3.5,6.7,0.751472320376914
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,11,-1.6,4.6,0.641931684334511
"55",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,22,15.9,5.1,0.890459363957597
"56",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,23.8,12.4,6.6,0.775029446407538
"57",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,30.7,22.9,10.6,0.749116607773852
"58",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,26.6,14.8,10.4,0.661955241460542
"59",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,15.2,-2.2,8.9,0.720848056537102
"60",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,14.7,3.4,10.4,0.838633686690224
"61",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,34.1,23.6,10.6,0.820965842167256
"62",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,37.1,28.2,6.7,0.736160188457008
"63",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,40,27.1,4.7,0.855123674911661
"64",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,43.9,38.1,6.2,0.886925795053004
"65",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,44.7,34.4,6.5,0.878680800942285
"66",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,44.9,27.7,6.5,0.884570082449941
"67",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,50.6,31.5,6.3,0.958775029446408
"68",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,52.5,38.6,8.2,0.939929328621908
"69",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,47.6,33.3,6.7,0.916372202591284
"70",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,61.3,39,11.7,0.917550058892815
"71",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,44.1,25.4,15,0.8150765606596
"72",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,38.8,14.2,4.3,0.812720848056537
"73",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,44.4,16.9,7.4,0.84452296819788
"74",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,44,33.1,7.8,0.91283863368669
"75",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,43,34.9,11.4,0.811542991755006
"76",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,34.8,22.1,10,0.772673733804476
"77",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,31.4,25.2,11.5,0.697290930506478
"78",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,32.4,21.6,9.1,0.752650176678445
"79",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,40.7,34.3,11,0.851590106007067
"80",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,39.7,28.4,8.1,0.80565371024735
"81",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,30.8,16.8,12.1,0.85394581861013
"82",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,29.2,10.7,6.2,0.773851590106007
"83",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,34.9,19.8,12.4,0.729093050647821
"84",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,49.1,31,9,0.846878680800942
"85",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,50.1,35.7,9.4,0.816254416961131
"86",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,60.6,43.2,11,0.935217903415783
"87",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,52,31.8,8.9,0.836277974087161
"88",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,42.9,24.1,10.7,0.817432273262662
"89",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,56.3,23.8,10.3,0.792697290930506
"90",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,55,33.2,6.3,0.7962308598351
"91",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,43.6,39,10.5,0.710247349823322
"92",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,47.2,44.2,7.6,0.799764428739694
"93",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,54.6,51.3,9.1,0.763250883392226
"94",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,54.5,41.6,19.2,0.840989399293286
"95",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,50.5,33.7,7.2,0.848056537102474
"96",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,58.8,32.1,8,0.910482921083628
"97",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,63.3,40.4,10.5,0.865724381625442
"98",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,58.2,24.9,5.1,0.90341578327444
"99",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,56,26.8,9.6,0.939929328621908
"100",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,54.8,37.9,7.1,0.808009422850412
"101",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,62.4,45.9,3.8,0.924617196702002
"102",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,62.3,43.8,7.4,0.905771495877503
"103",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,57.5,38.3,8.7,0.828032979976443
"104",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,50.8,44.9,14.1,0.875147232037691
"105",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,47.6,29.3,16.2,0.780918727915194
"106",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,42.2,23.6,12.7,0.803297997644287
"107",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,44.5,22.5,7.9,0.861012956419317
"108",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,47.5,24,4.3,0.896348645465253
"109",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,45.9,39.3,13.1,0.818610129564193
"110",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,47.1,30.3,10.7,0.845700824499411
"111",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,49.1,31.6,11.9,0.849234393404005
"112",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,49.1,34.3,5.4,0.845700824499411
"113",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,52.3,35.4,5.2,0.902237926972909
"114",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,48,34.8,12.1,0.784452296819788
"115",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,64.9,38.4,5.8,0.806831566548881
"116",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,70.1,42.9,8.5,0.877502944640754
"117",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,67.8,55,8.4,0.917550058892815
"118",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,56.1,48.3,7.2,0.819787985865724
"119",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,60.1,53.5,5.4,0.870435806831567
"120",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,71.2,52.9,7.8,0.971731448763251
"121",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,73.9,61.8,7.8,0.950530035335689
"122",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,60.4,56.3,7.2,0.806831566548881
"123",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,50.3,46.9,7.7,0.872791519434629
"124",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,59.9,54.5,9.4,0.881036513545348
"125",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,54.2,39.5,15.3,0.891637220259128
"126",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,49.6,35.3,9.3,0.90341578327444
"127",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,55.3,40.4,8.7,0.889281507656066
"128",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,67.6,58.2,9.8,0.968197879858657
"129",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,74.9,66.4,11.3,0.984687868080094
"130",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,74.6,59.6,12.9,0.89281507656066
"131",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,51.4,37.4,10.5,0.832744405182568
"132",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,46.2,30.9,9.1,0.858657243816254
"133",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,54.7,37.9,7.3,0.877502944640754
"134",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,60.5,37.5,7.5,0.97055359246172
"135",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,65.7,37.6,6.7,0.939929328621908
"136",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,68.8,51.7,5.4,0.809187279151943
