stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725300,94846,2015,05,01,50.0,24,36.6,24,1020.1,24,995.4,24,10.0,24,5.3,24,13.0,999.9,66.9,,37.9,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,05,08,71.1,24,60.7,24,1013.3,24,989.3,24,9.5,24,8.2,24,22.0,35.9,82.9,,52.0,,0.04,G,999.9,0,1,0,0,1,0
725300,94846,2015,05,10,48.5,24,45.8,24,1017.3,15,992.7,22,5.6,24,8.7,24,14.0,999.9,64.0,,45.0,,0.13,G,999.9,1,1,0,0,0,0
725300,94846,2015,05,24,66.1,24,49.3,24,1020.2,24,996.1,24,9.6,24,5.9,24,11.1,999.9,80.1,,46.0,,0.0,G,999.9,0,1,0,0,0,0
725300,94846,2015,05,29,72.1,24,60.3,24,1015.8,24,992.0,24,9.6,24,8.9,24,21.0,34.0,82.0,,54.0,,0.0,G,999.9,0,1,0,0,0,0
725300,94846,2015,06,02,55.5,24,40.1,24,1021.8,24,997.2,24,10.0,24,4.5,24,11.1,999.9,70.0,,42.1,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,06,08,73.1,24,63.8,24,1004.9,17,981.2,24,9.6,24,10.5,24,24.1,29.9,84.0,,55.0,,0.36,G,999.9,0,1,0,1,1,0
725300,94846,2015,06,09,69.7,24,56.2,24,1008.2,24,984.3,24,9.7,24,7.3,24,19.0,26.0,84.9,,60.1,,0.04,G,999.9,0,1,0,0,0,0
725300,94846,2015,06,14,73.3,24,67.9,24,1012.3,18,988.5,24,8.2,24,6.8,24,15.0,19.0,86.0,,55.9,,0.68,G,999.9,0,1,0,0,1,0
725300,94846,2015,06,21,73.5,24,64.7,24,1010.9,24,986.9,24,9.7,24,7.6,24,14.0,26.0,84.0,,53.1,,0.31,G,999.9,0,1,0,0,1,0
725300,94846,2015,06,23,75.3,24,59.3,24,1012.8,24,989.0,24,10.0,24,9.5,24,15.9,19.0,82.9,,66.0,,0.09,G,999.9,0,0,0,0,0,0
725300,94846,2015,06,30,68.1,24,61.4,24,1008.7,24,984.8,24,8.4,24,6.2,24,13.0,999.9,77.0,,62.1,,0.55,G,999.9,0,1,0,0,0,0
725300,94846,2015,07,08,59.7,24,50.2,24,1018.7,24,994.3,24,10.0,24,6.8,24,11.1,999.9,71.1,,54.0,,0.03,G,999.9,0,1,0,0,0,0
725300,94846,2015,07,25,79.5,24,67.1,24,1012.7,24,988.9,24,10.0,24,7.5,24,12.0,15.0,91.0,,64.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,07,31,78.2,24,56.4,24,1015.1,24,991.2,24,10.0,24,10.9,24,18.1,27.0,88.0,,64.9,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,08,01,75.5,24,54.0,24,1014.2,24,990.3,24,10.0,24,9.3,24,15.9,21.0,87.1,,64.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,08,04,72.2,24,53.5,24,1013.2,24,989.3,24,10.0,24,7.4,24,14.0,19.0,82.0,,61.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,08,17,78.6,24,67.1,24,1016.3,23,992.3,24,9.6,24,6.2,24,19.0,26.0,89.1,,68.0,,0.0,G,999.9,0,1,0,0,1,0
725300,94846,2015,08,21,68.7,24,53.0,24,1017.1,24,993.0,24,10.0,24,6.7,24,14.0,15.9,82.0,,55.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,08,23,71.5,24,58.6,24,1012.3,23,988.3,24,9.8,24,9.8,24,17.1,25.1,81.0,,60.1,,0.0,G,999.9,0,1,0,0,0,0
725300,94846,2015,08,24,65.0,24,49.0,24,1013.2,24,989.1,24,10.0,24,11.5,24,20.0,29.9,77.0,,55.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,08,27,63.1,24,52.3,24,1021.6,24,997.2,24,9.9,24,3.6,24,12.0,999.9,75.9,,51.1,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,09,01,77.7,24,69.9,24,1016.3,24,992.4,24,8.7,24,4.5,24,9.9,18.1,88.0,,60.1,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,09,04,74.4,24,66.8,24,1014.8,24,990.9,24,9.9,24,5.4,24,11.1,15.9,91.0,,68.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,09,07,81.5,24,66.9,24,1014.4,24,990.7,24,10.0,24,7.3,24,9.9,999.9,91.9,,70.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,09,23,68.2,24,52.1,24,1023.6,24,999.3,24,10.0,24,3.4,24,9.9,999.9,80.1,,53.1,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,09,24,66.7,24,56.6,24,1024.0,24,999.6,24,9.9,24,4.6,24,8.9,999.9,80.1,,55.9,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,09,28,69.6,24,63.6,24,1015.6,23,991.6,24,10.0,24,4.3,24,8.9,999.9,77.0,,61.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,10,02,55.0,24,41.7,24,1027.0,24,1002.3,24,10.0,24,16.4,24,22.0,29.9,60.1,,51.1,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,10,11,61.5,24,46.7,24,1010.9,24,986.7,24,10.0,24,9.3,24,15.9,25.1,79.0,,42.1,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,10,12,67.1,24,48.6,24,1000.7,24,976.9,24,10.0,24,12.4,24,22.0,34.0,79.0,,51.1,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,10,13,55.7,24,41.3,24,1003.7,22,979.7,24,10.0,24,13.4,24,24.1,29.9,75.0,,48.9,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,10,16,48.9,24,30.0,24,1022.7,24,998.1,24,10.0,24,9.7,24,19.0,22.9,69.1,,42.1,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,10,20,63.7,24,37.7,24,1017.5,24,993.2,24,10.0,24,11.5,24,20.0,28.9,73.9,,45.0,,0.0,G,999.9,0,1,0,0,0,0
725300,94846,2015,10,21,62.7,24,51.9,24,1018.5,24,994.2,24,9.9,24,8.8,24,14.0,24.1,75.0,,52.0,,0.12,G,999.9,0,1,0,0,0,0
725300,94846,2015,10,25,51.3,24,39.1,24,1024.9,23,999.5,24,10.0,24,5.8,24,15.9,21.0,66.0,,41.0,,0.41,G,999.9,0,0,0,0,0,0
725300,94846,2015,11,01,52.7,24,43.0,24,1010.4,21,985.1,24,9.8,24,10.4,24,15.0,21.0,63.0,,44.1,,0.08,G,999.9,0,1,0,0,0,0
725300,94846,2015,11,06,55.5,24,48.3,24,1012.1,21,986.8,24,9.5,24,16.0,24,24.1,34.0,70.0,,44.1,,0.16,G,999.9,0,1,0,0,0,0
725300,94846,2015,11,12,48.4,24,42.0,24,999.0,17,972.8,24,8.5,24,19.1,24,28.9,42.9,63.0,,36.0,,0.42,G,999.9,0,1,0,0,1,0
725300,94846,2015,11,21,31.9,24,29.5,24,1018.6,12,994.8,24,1.9,24,8.6,24,22.0,31.1,39.9,,27.0,,0.46,G,9.1,1,0,1,0,0,0
725300,94846,2015,11,24,31.6,24,26.8,24,1024.6,24,999.3,24,9.1,24,4.8,24,9.9,999.9,41.0,,21.0,,0.0,G,3.9,0,0,0,0,0,0
725300,94846,2015,12,03,33.0,24,28.4,24,1021.5,21,996.8,24,8.9,24,9.3,24,13.0,999.9,37.9,,30.0,,0.12,G,999.9,0,0,0,0,0,0
725300,94846,2015,12,06,35.8,24,31.6,24,1028.0,22,1003.3,24,6.9,24,5.6,24,9.9,999.9,46.9,,27.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,12,07,33.7,24,32.0,24,1023.2,20,998.2,24,3.9,24,4.2,24,8.9,999.9,46.9,,27.0,,0.0,G,999.9,1,0,0,0,0,0
725300,94846,2015,12,09,46.0,24,40.7,24,1006.4,24,981.7,24,8.9,24,8.3,24,12.0,999.9,52.0,,37.9,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,12,14,54.7,24,51.1,24,993.8,19,970.0,24,8.4,24,15.0,24,25.1,33.0,61.0,,46.0,,1.1,G,999.9,0,1,0,0,0,0
725300,94846,2015,12,19,23.3,24,12.8,24,1024.2,24,998.7,24,10.0,24,11.2,24,17.1,22.0,32.0,,15.1,,0.0,G,999.9,0,0,1,0,0,0
725300,94846,2015,12,20,34.2,24,23.0,24,1022.2,24,996.9,24,10.0,24,10.6,24,19.0,28.9,50.0,,15.1,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,01,05,2.2,24,-7.4,24,1034.9,24,1008.6,24,10.0,24,12.4,24,18.1,24.1,12.9,*,-2.9,*,0.04,G,2.0,0,0,0,0,0,0
725300,94846,2015,01,12,23.1,24,16.3,24,1031.9,14,1003.3,24,6.7,24,9.1,24,15.0,999.9,32.0,,15.1,,0.19,G,5.9,1,0,1,0,0,0
725300,94846,2015,01,13,16.9,24,8.7,24,1039.0,21,1013.1,24,8.5,24,8.9,24,15.0,20.0,28.0,,14.0,,0.0,G,5.9,0,0,1,0,0,0
725300,94846,2015,01,15,22.0,24,14.6,24,1019.9,24,994.6,24,9.9,24,8.5,24,14.0,19.0,34.0,,1.0,,0.0,G,5.1,0,0,0,0,0,0
725300,94846,2015,01,23,29.6,24,23.0,24,1024.1,22,999.2,24,9.8,24,9.9,24,13.0,19.0,30.9,,28.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,01,27,27.4,24,21.8,24,1018.7,18,992.5,24,7.0,24,5.6,24,8.9,999.9,32.0,,15.1,,0.07,G,1.2,0,1,1,0,0,0
725300,94846,2015,01,28,25.8,24,17.5,24,1024.1,24,998.6,24,10.0,24,6.3,24,17.1,20.0,33.1,,19.0,,0.0,G,1.2,0,0,0,0,0,0
725300,94846,2015,02,04,21.1,24,16.4,24,1019.5,18,993.6,24,6.2,24,6.8,24,13.0,999.9,26.1,,1.9,,0.09,G,16.1,0,0,1,0,0,0
725300,94846,2015,02,06,17.5,24,7.9,24,1023.3,24,997.4,24,10.0,24,8.7,24,13.0,22.0,30.9,,-2.0,,0.0,G,14.2,0,0,0,0,0,0
725300,94846,2015,02,14,18.6,24,8.5,24,1017.7,18,990.6,24,8.7,24,15.2,24,29.9,41.0,27.0,,5.0,,0.0,G,5.1,0,0,1,0,0,0
725300,94846,2015,03,13,47.0,24,30.3,24,1023.5,24,998.6,24,10.0,24,5.8,24,12.0,999.9,64.9,,28.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,03,15,45.2,24,32.0,24,1021.9,24,997.0,24,10.0,24,7.1,24,17.1,26.0,62.1,,28.9,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,03,16,58.0,24,37.1,24,1013.1,24,988.8,24,10.0,24,10.9,24,17.1,25.1,73.0,*,48.9,*,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,03,24,29.7,24,20.6,24,1024.7,23,999.7,24,9.9,24,8.5,24,14.0,999.9,35.1,,19.0,,0.37,G,3.9,0,0,0,0,0,0
725300,94846,2015,03,28,26.8,24,11.3,24,1025.6,24,1000.1,24,10.0,24,5.9,24,12.0,999.9,36.0,,19.9,,0.01,G,1.2,0,0,0,0,0,0
725300,94846,2015,04,02,58.5,24,42.9,24,1007.3,23,983.0,24,9.0,24,13.0,24,19.0,24.1,72.0,,35.1,,0.11,G,999.9,0,1,0,0,0,0
725300,94846,2015,04,03,50.1,24,30.9,24,1012.1,24,987.7,24,10.0,24,8.7,24,15.0,20.0,64.9,,36.0,,0.25,G,999.9,0,1,0,0,0,0
725300,94846,2015,04,09,50.5,24,48.2,24,1008.5,11,983.3,24,3.9,24,8.9,24,15.9,27.0,71.1,,39.9,,0.07,G,999.9,1,1,0,0,1,0
725300,94846,2015,04,13,60.1,24,40.3,24,1014.7,21,989.9,24,9.2,24,11.5,24,17.1,25.1,68.0,,41.0,,0.19,G,999.9,0,1,0,0,1,0
725300,94846,2015,04,15,54.0,24,24.6,24,1024.0,24,999.3,24,10.0,24,8.3,24,15.0,999.9,66.0,,39.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,04,16,52.9,24,35.9,24,1020.0,22,995.5,24,9.2,24,7.2,24,11.1,999.9,66.0,,43.0,,0.0,G,999.9,0,1,0,0,0,0
725300,94846,2015,04,19,55.6,24,34.7,24,1009.8,24,985.5,24,9.6,24,8.3,24,11.1,20.0,68.0,,46.9,,0.0,G,999.9,0,1,0,0,0,0
725300,94846,2015,04,28,46.3,24,33.7,24,1020.0,24,995.3,24,10.0,24,4.5,24,12.0,999.9,57.9,,35.1,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,05,05,52.1,24,45.6,24,1022.3,16,998.0,24,6.0,24,7.7,24,11.1,999.9,73.9,,48.0,,0.93,G,999.9,0,1,0,0,1,0
725300,94846,2015,05,06,55.6,24,50.9,24,1020.8,13,997.1,24,2.9,24,5.8,24,9.9,999.9,77.0,,46.0,,0.02,G,999.9,1,0,0,0,0,0
725300,94846,2015,05,07,66.9,24,52.0,24,1016.7,24,992.5,24,8.7,24,8.6,24,20.0,27.0,82.9,,46.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,05,12,52.0,24,39.5,24,1015.6,24,990.9,24,10.0,24,16.6,24,21.0,29.9,68.0,,46.9,,0.22,G,999.9,0,0,0,0,0,0
725300,94846,2015,05,14,52.2,24,38.8,24,1026.9,24,1002.0,24,10.0,24,8.9,24,15.0,20.0,66.0,,39.9,,0.0,G,999.9,0,1,0,0,0,0
725300,94846,2015,05,20,43.5,24,30.2,24,1023.9,24,999.0,24,9.9,24,7.2,24,13.0,999.9,53.1,,39.0,,0.0,G,999.9,0,1,0,0,0,0
725300,94846,2015,05,23,61.8,24,35.6,24,1025.5,24,1000.9,24,10.0,24,6.5,24,13.0,15.9,80.1,,46.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,06,04,68.2,24,56.7,24,1015.3,24,991.2,24,10.0,24,7.5,24,11.1,15.0,81.0,,50.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,06,07,65.7,24,57.7,24,1010.6,23,986.5,24,8.9,24,9.0,24,15.9,24.1,81.0,,52.0,,0.0,G,999.9,0,1,0,0,1,0
725300,94846,2015,06,11,68.9,24,57.0,24,1009.9,24,986.1,24,9.6,24,6.6,24,13.0,999.9,75.9,*,63.0,*,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,06,12,61.5,24,59.0,24,1009.8,15,985.0,24,4.4,24,7.0,24,13.0,999.9,72.0,,57.9,,0.32,G,999.9,0,1,0,0,1,0
725300,94846,2015,06,18,71.6,24,65.4,24,1013.6,20,989.5,24,7.2,24,7.1,24,14.0,19.0,79.0,,55.9,,0.14,G,999.9,1,1,0,0,1,0
725300,94846,2015,06,19,60.8,24,50.8,24,1017.8,24,993.6,24,10.0,24,10.2,24,14.0,21.0,79.0,,54.0,,0.27,G,999.9,0,0,0,0,0,0
725300,94846,2015,06,26,63.1,24,58.8,24,1015.2,20,991.0,24,6.7,24,7.7,24,13.0,999.9,79.0,,60.1,,0.03,G,999.9,0,1,0,0,0,0
725300,94846,2015,06,29,68.1,24,61.6,24,1009.1,18,985.1,24,8.2,24,3.6,24,8.0,999.9,79.0,,54.0,,0.26,G,999.9,0,1,0,0,1,0
725300,94846,2015,07,20,74.5,24,62.0,24,1009.9,24,986.1,24,10.0,24,6.3,24,13.0,999.9,84.9,,63.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,07,23,74.4,24,56.6,24,1015.2,24,991.3,24,10.0,24,3.5,24,8.9,999.9,84.9,,63.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,07,29,81.3,24,66.0,24,1013.4,24,989.6,24,10.0,24,8.0,24,15.9,22.0,91.0,,66.9,,0.0,G,999.9,0,1,0,0,0,0
725300,94846,2015,07,30,77.1,24,55.3,24,1016.2,24,992.3,24,10.0,24,10.2,24,19.0,24.1,88.0,,64.9,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,08,02,79.6,24,65.4,24,1009.3,24,985.7,24,9.7,24,11.7,24,20.0,45.1,91.0,,64.0,,0.0,G,999.9,0,1,0,1,1,0
725300,94846,2015,08,03,75.7,24,60.1,24,1008.3,24,984.3,24,10.0,24,10.0,24,19.0,31.1,91.0,,66.9,,0.53,G,999.9,0,1,0,0,1,0
725300,94846,2015,08,09,71.8,24,65.9,24,1014.1,20,990.2,24,6.9,24,4.4,24,11.1,999.9,82.0,,66.9,,0.0,G,999.9,0,1,0,0,0,0
725300,94846,2015,08,11,72.9,24,62.3,24,1015.1,24,991.1,24,10.0,24,6.6,24,13.0,999.9,84.0,,64.9,,0.02,G,999.9,0,0,0,0,0,0
725300,94846,2015,08,13,73.8,24,60.4,24,1018.7,24,994.6,24,10.0,24,7.9,24,17.1,22.9,84.9,,61.0,,0.0,G,999.9,0,0,0,0,0,0
725300,94846,2015,08,15,76.6,24,66.7,24,1018.7,24,994.8,24,9.8,24,6.1,24,22.0,35.0,91.9,,66.9,,0.21,G,999.9,0,1,0,0,1,0
725300,94846,2015,08,16,78.7,24,69.1,24,1018.2,24,994.3,24,9.6,24,5.2,24,13.0,20.0,91.9,,66.9,,0.14,G,999.9,0,0,0,0,0,0
725300,94846,2015,08,20,64.8,24,52.9,24,1008.9,23,984.7,24,10.0,24,13.6,24,18.1,28.0,75.0,,59.0,,0.0,G,999.9,0,1,0,0,0,0
